大分類,中分類,小分類
金融・保険業,農林水産金融業,農林水産政府関係金融機関
金融・保険業,中小商工・庶民・住宅等金融業,信用金庫・同連合会
金融・保険業,中小商工・庶民・住宅等金融業,信用協同組合・同連合会
金融・保険業,中小商工・庶民・住宅等金融業,商工組合中央金庫
金融・保険業,中小商工・庶民・住宅等金融業,中小企業金融公庫
金融・保険業,中小商工・庶民・住宅等金融業,国民金融公庫
金融・保険業,中小商工・庶民・住宅等金融業,その他の中小企業等金融業
金融・保険業,中小商工・庶民・住宅等金融業,質屋
金融・保険業,中小商工・庶民・住宅等金融業,貸金業
金融・保険業,中小商工・庶民・住宅等金融業,クレジットカード業
金融・保険業,中小商工・庶民・住宅等金融業,割賦金融業
金融・保険業,中小商工・庶民・住宅等金融業,他に分類されない貸金業，投資業等非預金信用機関
金融・保険業,中小商工・庶民・住宅等金融業,住宅金融機関，住宅専門金融業
金融・保険業,中小商工・庶民・住宅等金融業,環境衛生金融公庫
金融・保険業,中小商工・庶民・住宅等金融業,他に分類されない政府関係金融機関
金融・保険業,補助的金融業，金融付帯業,短資業
金融・保険業,補助的金融業，金融付帯業,証券金融業
金融・保険業,補助的金融業，金融付帯業,手形交換所
金融・保険業,補助的金融業，金融付帯業,両替業
金融・保険業,補助的金融業，金融付帯業,信用保証再保険機関
金融・保険業,補助的金融業，金融付帯業,信用保証機関
金融・保険業,補助的金融業，金融付帯業,預・貯金保険機構
金融・保険業,補助的金融業，金融付帯業,その他の補助的金融業，金融付帯業
金融・保険業,証券業，商品先物取引業,証券業（証券取引所会員のもの）
金融・保険業,証券業，商品先物取引業,証券業（証券取引所非会員のもの）
金融・保険業,証券業，商品先物取引業,証券投資信託委託業
金融・保険業,証券業，商品先物取引業,補助的証券業，証券業類似業
金融・保険業,証券業，商品先物取引業,商品先物取引業，商品投資業
金融・保険業,証券業，商品先物取引業,取引所
金融・保険業,保険業,生命保険業
金融・保険業,保険業,損害保険業
金融・保険業,保険業,共済事業
金融・保険業,保険媒介代理業，保険サービス業,保険媒介代理業
金融・保険業,保険媒介代理業，保険サービス業,保険サービス業
金融・保険業,投資業,投資業
不動産業,不動産業,不動産賃貸業
不動産業,不動産業,建物売買業，土地売買業
不動産業,不動産業,不動産代理業・仲介業
不動産業,不動産業,貸家業，貸間業
不動産業,不動産業,不動産管理業
運輸・通信業,鉄道業,普通鉄道業
運輸・通信業,鉄道業,軌道業
運輸・通信業,鉄道業,地下鉄道業
運輸・通信業,鉄道業,その他の鉄道・軌道・索道業
運輸・通信業,道路旅客運送業,一般乗合・貸切旅客自動車運送業
運輸・通信業,道路旅客運送業,一般乗用旅客自動車運送業
運輸・通信業,道路旅客運送業,特定旅客自動車運送業
運輸・通信業,道路旅客運送業,無償旅客自動車運送業
運輸・通信業,道路旅客運送業,旅客軽車両運送業
運輸・通信業,道路貨物運送業,一般貨物自動車運送業
運輸・通信業,道路貨物運送業,特定貨物自動車運送業
運輸・通信業,道路貨物運送業,無償貨物自動車運送業
運輸・通信業,道路貨物運送業,集配利用運送業
運輸・通信業,道路貨物運送業,貨物軽自動車・軽車両運送業
運輸・通信業,水運業,外航海運業
運輸・通信業,水運業,沿海海運業
運輸・通信業,水運業,内陸水運業
運輸・通信業,水運業,船舶貸渡業
運輸・通信業,航空運輸業,航空運送業
運輸・通信業,航空運輸業,航空機使用業（航空運送業を除く）
運輸・通信業,倉庫業,普通倉庫業
運輸・通信業,倉庫業,冷蔵倉庫業
運輸・通信業,倉庫業,水面木材倉庫業
運輸・通信業,運輸に付帯するサービス業,貨物運送取扱業（集配利用運送業を除く）
運輸・通信業,運輸に付帯するサービス業,運送代理店
運輸・通信業,運輸に付帯するサービス業,旅行業
運輸・通信業,運輸に付帯するサービス業,運輸あっせん業
運輸・通信業,運輸に付帯するサービス業,港湾運送業
運輸・通信業,運輸に付帯するサービス業,こん包業
運輸・通信業,運輸に付帯するサービス業,運輸施設提供業
運輸・通信業,運輸に付帯するサービス業,その他の運輸に付帯するサービス業
運輸・通信業,郵便業，電気通信業,郵便業，郵便受託業
運輸・通信業,郵便業，電気通信業,国内・国際電気通信業
運輸・通信業,郵便業，電気通信業,有線放送電話業
運輸・通信業,郵便業，電気通信業,電気通信に付帯するサービス業およびその他の郵便受託業
電気・ガス・水道・熱供給業,電気業,電気業
電気・ガス・水道・熱供給業,ガス業,ガス業
電気・ガス・水道・熱供給業,水道業,上水道業
電気・ガス・水道・熱供給業,水道業,工業用水道業
電気・ガス・水道・熱供給業,水道業,下水道業
電気・ガス・水道・熱供給業,熱供給業,熱供給業
サービス業,物品賃貸業,各種物品賃貸業
サービス業,物品賃貸業,産業用機械器具賃貸業
サービス業,物品賃貸業,事務用機械器具賃貸業
サービス業,物品賃貸業,自動車賃貸業
サービス業,物品賃貸業,スポーツ・娯楽用品賃貸業
サービス業,物品賃貸業,その他の物品賃貸業
サービス業,旅館，その他の宿泊所,旅館
サービス業,旅館，その他の宿泊所,簡易宿所
サービス業,旅館，その他の宿泊所,下宿業
サービス業,旅館，その他の宿泊所,その他の宿泊所
サービス業,家事サービス業,家事サービス業（住込みのもの）
サービス業,家事サービス業,家事サービス業（住込みでないもの）
サービス業,洗濯・理容・浴場業,洗濯業
サービス業,洗濯・理容・浴場業,洗張・染物業
サービス業,洗濯・理容・浴場業,理容業，美容業
サービス業,洗濯・理容・浴場業,公衆浴場業
サービス業,洗濯・理容・浴場業,特殊浴場業
サービス業,その他の個人サービス業,写真業（商業写真業を除く）
サービス業,その他の個人サービス業,商業写真業
サービス業,その他の個人サービス業,衣服裁縫修理業
サービス業,その他の個人サービス業,物品預り業
サービス業,その他の個人サービス業,火葬・墓地管理業，葬儀業
サービス業,その他の個人サービス業,他に分類されない個人サービス業
サービス業,映画・ビデオ制作業,映画・ビデオ制作業
サービス業,映画・ビデオ制作業,映画・ビデオ配給業
サービス業,映画・ビデオ制作業,映画館
サービス業,映画・ビデオ制作業,映画・ビデオサービス業
サービス業,娯楽業,劇場，興行場
サービス業,娯楽業,興行団
サービス業,娯楽業,競輪・競馬等の競走場
サービス業,娯楽業,競輪・競馬等の競技団
サービス業,娯楽業,スポーツ施設提供業およびフィットネスクラブ
サービス業,娯楽業,公園，遊園地
サービス業,娯楽業,遊戯場
サービス業,娯楽業,その他の娯楽業
サービス業,放送業,公共放送業
サービス業,放送業,民間放送業
サービス業,放送業,有線放送業
サービス業,自動車整備業，駐車場業,自動車整備業
サービス業,自動車整備業，駐車場業,駐車場業
サービス業,その他の修理業,機械修理業
サービス業,その他の修理業,家具修理業
サービス業,その他の修理業,かじ業
サービス業,その他の修理業,表具業
サービス業,その他の修理業,時計修理業
サービス業,その他の修理業,その他の修理業
サービス業,協同組合（他に分類されないもの）,農林水産業協同組合（他に分類されないもの）
サービス業,協同組合（他に分類されないもの）,事業協同組合（他に分類されないもの）
サービス業,広告・調査・情報サービス業,広告代理業
サービス業,広告・調査・情報サービス業,その他の広告業
サービス業,広告・調査・情報サービス業,ソフトウェア業
サービス業,広告・調査・情報サービス業,情報処理サービス業
サービス業,広告・調査・情報サービス業,情報提供サービス業
サービス業,広告・調査・情報サービス業,その他の情報サービス業
サービス業,広告・調査・情報サービス業,民間の調査・情報機関
サービス業,広告・調査・情報サービス業,ニュース供給業
サービス業,その他の事業サービス業,速記・筆耕・複写業
サービス業,その他の事業サービス業,商品検査業
サービス業,その他の事業サービス業,建物サービス業
サービス業,その他の事業サービス業,民営職業紹介業
サービス業,その他の事業サービス業,宣伝物制作サービス業
サービス業,その他の事業サービス業,他に分類されない事業サービス業
サービス業,専門サービス業（他に分類されないもの）,法律事務所，特許事務所
サービス業,専門サービス業（他に分類されないもの）,公証人役場，司法書士事務所
サービス業,専門サービス業（他に分類されないもの）,公認会計士事務所，税理士事務所
サービス業,専門サービス業（他に分類されないもの）,土木建築サービス業
サービス業,専門サービス業（他に分類されないもの）,著述家・芸術家業
サービス業,専門サービス業（他に分類されないもの）,個人教授所
サービス業,専門サービス業（他に分類されないもの）,経営コンサルタント業
サービス業,専門サービス業（他に分類されないもの）,機械設計業，技術提供業
サービス業,専門サービス業（他に分類されないもの）,その他の各種専門サービス業
サービス業,医療業,病院
サービス業,医療業,一般診療所
サービス業,医療業,歯科診療所
サービス業,医療業,助産所
サービス業,医療業,療術業
サービス業,医療業,その他の医療業
サービス業,医療業,歯科技工所
サービス業,医療業,医療に付帯するサービス業
サービス業,保健衛生，廃棄物処理業,保健所
サービス業,保健衛生，廃棄物処理業,健康相談施設
サービス業,保健衛生，廃棄物処理業,検疫所（動物検疫所，植物防疫所を除く）
サービス業,保健衛生，廃棄物処理業,一般廃棄物・産業廃棄物処理業
サービス業,保健衛生，廃棄物処理業,その他の保健衛生，その他の廃棄物処理業
サービス業,宗教,神道系宗教
サービス業,宗教,仏教系宗教
サービス業,宗教,キリスト教系宗教
サービス業,宗教,その他の宗教
サービス業,教育,小学校
サービス業,教育,中学校
サービス業,教育,高等学校
サービス業,教育,高等教育機関
サービス業,教育,幼稚園
サービス業,教育,特殊教育諸学校
サービス業,教育,専修学校，各種学校
サービス業,教育,社会教育
サービス業,教育,その他の教育施設
サービス業,社会保険，社会福祉,社会保険事業団体
サービス業,社会保険，社会福祉,福祉事務所
サービス業,社会保険，社会福祉,児童福祉事業
サービス業,社会保険，社会福祉,老人福祉事業
サービス業,社会保険，社会福祉,障害者福祉事業
サービス業,社会保険，社会福祉,更生保護事業
サービス業,社会保険，社会福祉,その他の社会保険，社会福祉
サービス業,学術研究機関,自然科学研究所
サービス業,学術研究機関,人文・社会科学研究所
サービス業,政治・経済・文化団体,経済団体
サービス業,政治・経済・文化団体,労働団体
サービス業,政治・経済・文化団体,学術・文化団体
サービス業,政治・経済・文化団体,政治団体
サービス業,政治・経済・文化団体,他に分類されない非営利的団体
サービス業,その他のサービス業,集会場
サービス業,その他のサービス業,と畜場
サービス業,その他のサービス業,他に分類されないサービス業
サービス業,外国公務,外国公館
サービス業,外国公務,その他の外国公務
公務（他に分類されないもの）,国家公務,国家公務
公務（他に分類されないもの）,地方公務,地方公務
分類不能の産業,分類不能の産業,分類不能の産業
